Marca,GT_Raw_12m_Colombia
D1,48.4
Exito,3.1
Olímpica,13.8
Jumbo,35.9
Cencosud,83.4
Metro,1.9
Carulla,3.8
OXXO,100
Makro,29.7
Falabella,100
Mercado Zapatoca,18.8
Alkosto,52.9
Claro,77.4
ETB,58.0
Movistar,4.3
Tigo,100
Tigo UNE,100
WOM,100
Avianca,57.8
American Airlines,100
United Airlines,35.7
Wingo,32.5
Satena,13.9
JetSmart,65.9
Arturo Calle,4.5
Tennis (clothing),2.6
H&M,100
Koaj,35.8
Chevignon,15.0
Totto,3.5
Postobón,0.5
Colombiana Postobón,2.5
Manzana Postobón,3.0
Quatro,1.9
Coca-Cola,61.0
Bavaria,2.8
Aguila,52.1
Corona (beer),3.2
Club Colombia,74.1
Poker (beer),38.0
Budweiser,17.1
Stella Artois,12.4
Heineken,24.6
Toyota,100
Renault,100
Nissan,100
Mazda,100
Suzuki,100
Ford,76.9
Kia,74.4
Hyundai,100
BMW,75.0
Chevrolet,100
Rappi,100
Mercado Libre,63.5
Sura,100
Seguros Bolivar,100
Colpatria,100
Grupo Aval,28.5
Terpel,100
Primax,85.3
Biomax,65.7
Petrobras,3.6
Texaco,1.9
Farmatodo,100
Cruz Verde,100
Droguerías Olímpica,3.2
Frisby,7.6
McDonald's,100
KFC,46.8
El Corral,4.3
Decameron,100
Easy Fly,55.0
Farmacia Pasteur,70.0
Andina (beer),3.4
Tiendas Isimo,3.5
Copa Airlines,54.9
Telefónica,12.2
Hatsu,3.8
Cerveza BBC,2.3
Esso,1.9
Honda,72.7
