marca,gt_raw_12m_colombia
Alkosto,52.9
Andina (beer),0.0
BMW,75.0
Bavaria,2.8
Budweiser,17.1
Carulla,3.8
Cerveza BBC,2.3
Chevignon,15.0
Claro,77.4
Colombiana Postobón,
Copa Airlines,54.9
Corona (beer),3.2
Droguerías Olímpica,3.2
ETB,58.0
Easy Fly,0.0
El Corral,4.3
Esso,0.0
Farmacia Pasteur,70.0
Ford,0.0
Hatsu,3.8
Heineken,24.6
Honda,72.7
JetSmart,65.9
Jumbo,35.9
KFC,46.8
Kia,74.4
Koaj,35.8
Manzana Postobón,
Mercado Libre,63.5
Mercado Zapatoca,18.8
Metro,1.9
Poker (beer),38.0
Quatro,0.0
Satena,13.9
Stella Artois,12.4
Telefónica,12.2
Tennis (clothing),2.6
Texaco,1.9
Tiendas Isimo,3.5
Totto,3.5
Wingo,32.5
