id,ts_score,gt_score,wiki_score,social_score,R,D,E,K,CX,loop,search_gap,brand_architecture,paris_syndrome
Aguila,50.0,52.1,25,51.6,54.6,70.5,65.0,60.0,62.5,62.5,-15.9,67.8,92
American Airlines,66.1,100.0,65,51.6,36.8,22.2,30.0,40.0,35.0,32.8,14.6,26.1,87
Ara,62.2,87.0,15,37.2,92.8,90.8,88.0,90.0,89.0,90.1,2.0,89.4,98
Arturo Calle,27.4,4.5,15,25.6,72.8,86.5,80.0,70.0,75.0,76.9,-13.7,83.2,88
Avianca,50.2,57.8,65,30.8,70.3,39.6,60.0,75.0,67.5,62.5,30.7,49.8,72
Biomax,12.8,0.0,15,19.2,32.5,15.5,25.0,35.0,30.0,27.6,17.0,20.2,86
Cencosud,48.7,83.4,55,16.8,41.4,21.1,35.0,45.0,40.0,36.5,20.3,28.1,81
Chevrolet,71.6,100.0,85,46.0,75.5,25.0,60.0,78.0,69.0,61.5,50.5,42.5,56
Club Colombia,56.9,74.1,25,38.0,80.7,77.0,78.0,80.0,79.0,78.9,3.7,77.5,98
Coca-Cola,64.0,61.0,100,36.0,71.9,96.3,88.0,78.0,83.0,83.4,-24.4,92.2,87
Colpatria,46.6,100.0,20,19.2,24.0,4.1,18.0,26.0,22.0,18.8,19.9,11.1,82
Corona,39.8,0.9,70,42.8,71.4,90.4,80.0,72.0,76.0,77.9,-19.0,85.2,86
Cruz Verde,60.1,100.0,15,33.2,84.1,44.4,70.0,82.0,76.0,71.3,39.7,57.2,68
D1,44.3,48.4,15,24.8,99.0,77.4,89.0,95.0,92.0,90.5,21.6,83.2,85
Decameron,62.1,100.0,20,33.2,69.5,71.5,70.0,72.0,71.0,70.8,-2.0,70.8,100
Exito,35.7,3.1,35,53.6,85.4,47.5,72.0,88.0,80.0,74.6,37.9,59.8,68
Falabella,77.8,100.0,55,55.6,83.9,95.1,85.0,88.0,86.5,87.7,-11.2,90.0,91
Farmatodo,57.4,100.0,20,18.0,87.2,53.0,75.0,85.0,80.0,76.0,34.2,64.0,73
Frisby,34.7,7.6,15,35.2,95.2,97.3,92.0,90.0,91.0,93.1,-2.1,94.7,94
Grupo Aval,28.5,28.5,45,26.0,19.1,21.0,22.0,25.0,23.5,22.1,-1.9,21.5,98
H&M,74.7,100.0,85,40.0,67.4,82.5,72.0,68.0,70.0,72.0,-15.1,77.2,88
Hyundai,69.7,100.0,80,32.0,59.8,71.1,65.0,65.0,65.0,65.2,-11.3,68.0,94
Makro,35.7,29.7,50,25.2,74.3,28.1,55.0,70.0,62.5,58.0,46.2,41.5,66
Mazda,70.9,100.0,75,30.4,70.5,84.9,78.0,72.0,75.0,75.7,-14.4,81.5,90
McDonald's,80.8,100.0,95,61.6,55.2,75.1,65.0,60.0,62.5,63.6,-19.9,70.0,87
Movistar,33.8,4.3,55,52.8,51.9,30.6,45.0,55.0,50.0,46.5,21.3,37.8,81
Nissan,74.3,100.0,80,38.0,66.4,92.8,75.0,68.0,71.5,74.7,-26.4,83.9,79
OXXO,63.6,100.0,50,22.8,62.8,79.8,60.0,72.0,66.0,68.1,-17.0,69.9,86
Olímpica,33.1,13.8,35,34.8,84.0,41.6,68.0,85.0,76.5,71.0,42.4,54.8,65
Petrobras,14.1,3.6,45,10.8,20.2,8.4,15.0,22.0,18.5,16.8,11.8,11.7,90
Poker,57.3,100.0,15,46.4,21.7,39.5,32.0,28.0,30.0,30.2,-17.8,35.8,90
Postobón,29.2,0.5,30,30.4,76.5,77.8,78.0,80.0,79.0,78.3,-1.3,77.9,99
Primax,45.7,85.3,20,28.0,37.5,7.2,28.0,40.0,34.0,29.3,30.3,17.6,73
Rappi,78.8,100.0,50,63.6,78.3,93.8,82.0,80.0,81.0,83.0,-15.5,87.9,87
Renault,76.3,100.0,80,48.0,81.9,67.0,75.0,82.0,78.5,76.9,14.9,71.0,88
Seguros Bolivar,51.3,100.0,20,23.2,52.8,10.5,40.0,55.0,47.5,41.2,42.3,25.2,63
Sura,66.8,100.0,40,38.0,83.8,60.0,72.0,80.0,76.0,74.4,23.8,66.0,84
Suzuki,74.4,100.0,75,42.0,71.5,83.6,76.0,72.0,74.0,75.0,-12.1,79.8,90
Tennis,22.1,0.4,10,24.0,58.0,74.7,65.0,60.0,62.5,64.0,-16.7,69.8,88
Terpel,58.8,100.0,40,18.8,70.7,50.7,62.0,72.0,67.0,64.5,20.0,56.4,84
Tigo,56.7,100.0,40,26.8,44.3,32.0,38.0,48.0,43.0,41.1,12.3,35.0,89
Tigo UNE,56.3,100.0,20,36.0,37.3,38.2,35.0,42.0,38.5,38.2,-0.9,36.6,100
Toyota,76.6,100.0,90,34.4,85.3,92.7,90.0,88.0,89.0,89.0,-7.4,91.3,96
United Airlines,36.5,35.7,60,24.0,36.9,41.1,38.0,42.0,40.0,39.6,-4.2,39.5,99
WOM,54.5,100.0,20,38.8,11.5,37.4,22.0,18.0,20.0,21.8,-25.9,29.7,83
Zapatoca,20.7,14.2,10,21.2,31.7,46.8,38.0,35.0,36.5,37.6,-15.1,42.4,90
